Price,Estimated owners,Positive,Negative,Genres,Owners_clean,Total_reviews,Review_score
0,2,79,10,Adventure,2,89,0.8876404494382022
75,144,19660,1758,"Action,Adventure,Indie",144,21418,0.9179195069567654
25,2,239,48,"Adventure,Indie",2,287,0.8327526132404182
85,56,17040,885,Action,56,17925,0.9506276150627615
0,1,298,135,Sports,1,433,0.6882217090069284
30,2,76,9,"Casual,Indie,Simulation",2,85,0.8941176470588236
40,5,992,215,Adventure,5,1207,0.8218724109362054
0,8,1118,382,Strategy,8,1500,0.7453333333333333
75,114,5468,1670,"Action,RPG",114,7138,0.7660409078173158
0,2,221,5,"Action,Indie,Early Access",2,226,0.9778761061946902
0,3,272,151,"Action,Adventure,Indie,RPG",3,423,0.6430260047281324
0,17,2242,506,"Indie,Strategy,Free To Play",17,2748,0.8158660844250364
65,1,730,257,"Action,Adventure,Casual,Indie,Simulation,Sports",1,987,0.7396149949341438
75,1,437,185,"Action,Adventure",1,622,0.702572347266881
20,913,2649,1384,"Action,RPG,Early Access",913,4033,0.6568311430696752
30,2,260,55,"Adventure,Indie,RPG",2,315,0.8253968253968254
60,5,3076,781,"Adventure,Indie",5,3857,0.7975110189266269
0,6,1057,202,"Action,Adventure,Casual,RPG",6,1259,0.8395552025416998
50,1,90,7,Adventure,1,97,0.9278350515463918
0,11,2668,991,"Action,Casual,Racing,Simulation,Sports",11,3659,0.7291609729434272
80,711,40520,3881,"Action,Simulation,Strategy",711,44401,0.9125920587374158
30,1,27,2,"Adventure,Casual,Indie,RPG",1,29,0.9310344827586207
0,217,5676,546,"Action,Strategy,Free To Play",217,6222,0.9122468659594986
0,1,23,1,"Indie,Strategy",1,24,0.9583333333333334
0,8,447,180,"Action,Casual,Indie,Strategy",8,627,0.7129186602870813
0,2,196,104,"Free To Play,Indie,Strategy",2,300,0.6533333333333333
0,2,36,25,"Casual,Indie,Strategy",2,61,0.5901639344262295
0,40,49,4,"Action,Casual,Indie",40,53,0.9245283018867925
0,91,40,22,Strategy,91,62,0.6451612903225806
